FEED_N2,FEED_C1,FEED_C2,FEED_C3,FEED_iC4,FEED_nC4,MR_N2,MR_C1,MR_C2,MR_C3,AmbTemp,Feed_Press,Feed_Temp,MCHE_WB_Out_Temp,MCHE_CB_Out_Temp,LPMR_Suc_Press,HPMR_Dis_Press,Cooler_Out_Temp_AFC,MCHE_WB_DT,MR_HT_Eff,Cond_Out_Temp_AFC,Sub_Out_Temp_AFC,MCHE_IN_T,MCHE_IN_C_T,MCHE_MID_C_T,MCHE_OUT_C_T,WB_UA,CB_UA,SpecPower,ThermalEff,FFF_Flow,GT_Eff,MR_FLOW,MR_GASFLOW,MR_SUCT_VL,LMR_FLOW,LMR_GASFLOW,HMR_FLOW,HMR_VFLOW,C3_FLOW
1.5,89.6,5.9,2.8,0.066666667,0.133333333,10.9,37.1,35.8,16.2,12.5,67.5,28.5,-131.6,-146.2,3.1,46.5,18.5,1.6,21,31.5,24.0,-35.71613159,-37.22511051,-133.4368383,-160.97523130000002,78306848.52,1002094.29,240.0744914,0.8976678570000001,-19790.297169999998,0.306654629,1276319.876,1062917.36,1.0,385456.559,393066.0933,890863.3173,1508.832374,1621034.477
2.4,89.2,7.9,0.3,0.066666667,0.133333333,13.3,37.2,39.1,10.4,26.5,58.5,33.5,-128.8,-155.2,2.8,50.1,41.5,5.9,81,43.5,30.0,-35.71613159,-41.61754642,-133.2170401,-167.0277706,30114389.18,2381773.99,326.7748006,0.909372223,26408.78424,0.297411787,1543592.822,1328799.298,1.0,552567.5215,553438.7651,991025.3007,1714.609932,2176305.576
3.5,90.8,3.5,1.8,0.133333333,0.26666666699999997,18.1,35.7,30.0,16.2,14.5,65.0,19.5,-125.0,-158.8,2.53,53.8,27.0,3.0,61,32.5,26.0,-35.71613159,-38.71737255,-131.4621253,-172.4817967,47192304.44,2492267.169,302.7083725,0.915126216,31527.67445,0.305299206,1555632.6369999999,1293208.736,1.0,597104.4841,585165.4578,958528.1529999999,1625.480947,1779748.9719999998
0.5,96.1,1.7,0.9,0.26666666699999997,0.533333333,19.0,30.8,35.5,14.7,27.0,67.5,23.0,-132.8,-149.2,2.6,49.6,40.5,1.3,41,42.0,27.5,-35.71613159,-37.03528417,-136.23153380000002,-170.16720949999998,64202822.7,905032.5607,308.1698914,0.911796533,-597.6625748,0.297091979,1488216.625,1216483.097,1.0,560734.7718,534852.1183,927481.8533,1541.341814,1958028.1430000002
8.0,90.7,0.8,0.4,0.033333333,0.066666667,9.7,40.5,38.8,11.0,35.5,68.0,13.0,-134.8,-152.0,3.29,52.6,44.0,5.5,21,60.0,47.0,-29.93121949,-35.43287696,-136.0451496,-160.52847350000002,39075217.04,2349096.329,353.3291602,0.901318475,10888.591129999999,0.29175859,1467048.03,1277859.044,1.0,509457.8181,520602.1719,957590.2122,1648.387461,2196468.477
6.9,86.5,2.9,3.1,0.2,0.4,13.2,42.4,34.3,10.1,37.0,53.5,31.5,-134.6,-146.6,4.67,59.9,52.5,4.8,41,55.0,41.5,-32.1411499,-36.94243711,-136.50755790000002,-157.6128895,52780403.51,1179391.862,355.25592620000003,0.893828411,-4888.372612,0.290837218,1538072.4209999999,1364365.75,1.0,600496.8529,609703.9042,937575.5685,1624.258739,2303925.087
6.2,86.9,2.6,3.4,0.3,0.6,10.1,42.9,33.5,13.5,30.0,73.0,18.0,-139.8,-152.8,2.24,48.5,44.0,3.5,21,45.0,40.0,-35.71622593,-39.21787425,-141.0741866,-163.7223226,21760877.81,1207003.478,330.36113589999997,0.906906048,15687.785930000002,0.295187484,1325916.745,1154667.5590000001,1.0,473588.8867,495586.3778,852327.8579,1440.268501,2101594.0
5.6,90.6,1.6,2.2,0.0,0.0,9.4,41.8,33.4,15.4,11.0,71.0,23.0,-129.8,-154.4,3.2,46.4,17.5,6.9,41,30.0,16.0,-35.7161316,-42.61788671,-131.71727420000002,-162.0180343,67631438.67,3327811.213,258.1782243,0.9230171429999999,7445.592168000001,0.307679121,1399119.5569999998,1198156.103,1.0,465887.6272,488529.8617,933231.9298,1598.3344650000001,1554905.44
0.6,89.2,7.5,2.1,0.2,0.4,11.1,37.3,38.1,13.5,21.5,50.5,22.0,-130.8,-147.4,2.35,42.0,31.0,1.5,61,43.0,32.5,-35.71613159,-37.21669999,-133.10038559999998,-162.4118775,37063286.84,1135389.288,313.03394380000003,0.9068056640000001,-3617.177265,0.300648145,1475633.881,1247958.4679999999,1.0,529945.7516,537740.7921,945688.1293,1603.5074439999999,2004253.02
2.5,87.6,6.8,3.0,0.033333333,0.066666667,9.5,40.0,31.8,18.7,24.0,63.5,16.0,-133.8,-152.0,2.61,54.2,34.5,4.0,41,48.5,38.5,-34.98981323,-38.99228887,-137.29154309999998,-163.91539790000002,42619061.44,1604085.419,280.3898021,0.917899628,9241.716511,0.299021209,1275587.894,1063386.754,1.0,309263.5342,322032.6151,966324.3599,1645.964927,1910515.414
